subject_id	subject_label	object_id	object_label	comment_leonmap	comment_gilda	confidence_leonmap	confidence_gilda	mapping_justification_leonmap	mapping_justification_gilda	predicate_id_leonmap	predicate_id_gilda
icd10:K80	Cholelithiasis	mesh:D002769	Cholelithiasis	cosine=0.899478		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:O30.2	Quadruplet pregnancy	mesh:D059287	Pregnancy, Quadruplet	cosine=0.899187		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B36.1	Tinea nigra	mesh:C000656904	tinea nigra	cosine=0.899113		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:J43	Emphysema	mesh:D004646	Emphysema	cosine=0.898789		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:I68.0	Cerebral amyloid angiopathy	mesh:D016657	Cerebral Amyloid Angiopathy	cosine=0.898734		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K60.4	Rectal fistula	mesh:D012003	Rectal Fistula	cosine=0.898589		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E87.3	Alkalosis	mesh:D000471	Alkalosis	cosine=0.898265		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N80	Endometriosis	mesh:D004715	Endometriosis	cosine=0.898117		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:H83.0	Labyrinthitis	mesh:D007762	Labyrinthitis	cosine=0.897157		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:C88.3	Immunoproliferative small intestinal disease	mesh:D007161	Immunoproliferative Small Intestinal Disease	cosine=0.896825		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R45.5	Hostility	mesh:D006791	Hostility	cosine=0.896658		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B35.3	Tinea pedis	mesh:D014008	Tinea Pedis	cosine=0.896385		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:I20.0	Unstable angina	mesh:D000789	Angina, Unstable	cosine=0.895683		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:I63	Cerebral infarction	mesh:D002544	Cerebral Infarction	cosine=0.894192		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R52.0	Acute pain	mesh:D059787	Acute Pain	cosine=0.892957		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N81.6	Rectocele	mesh:D020047	Rectocele	cosine=0.892646		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R57.0	Cardiogenic shock	mesh:D012770	Shock, Cardiogenic	cosine=0.891770		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q35	Cleft palate	mesh:D002972	Cleft Palate	cosine=0.891564		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B58	Toxoplasmosis	mesh:D014123	Toxoplasmosis	cosine=0.891047		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:O02.1	Missed abortion	mesh:D000030	Abortion, Missed	cosine=0.890056		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q25.0	Patent ductus arteriosus	mesh:D004374	Ductus Arteriosus, Patent	cosine=0.889095		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E54	Ascorbic acid deficiency	mesh:D001206	Ascorbic Acid Deficiency	cosine=0.889065		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:D82.0	Wiskott-Aldrich syndrome	mesh:D014923	Wiskott-Aldrich Syndrome	cosine=0.888428		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M05.0	Felty syndrome	mesh:D005258	Felty Syndrome	cosine=0.888341		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:H52.4	Presbyopia	mesh:D011305	Presbyopia	cosine=0.887941		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K81.0	Acute cholecystitis	mesh:D041881	Cholecystitis, Acute	cosine=0.887858		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B44	Aspergillosis	mesh:D001228	Aspergillosis	cosine=0.887065		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B70.0	Diphyllobothriasis	mesh:D004169	Diphyllobothriasis	cosine=0.884371		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:H10	Conjunctivitis	mesh:D003231	Conjunctivitis	cosine=0.883847		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M89.5	Osteolysis	mesh:D010014	Osteolysis	cosine=0.882190		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N30	Cystitis	mesh:D003556	Cystitis	cosine=0.881832		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:M48.0	Spinal stenosis	mesh:D013130	Spinal Stenosis	cosine=0.881141		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R10.0	Acute abdomen	mesh:D000006	Abdomen, Acute	cosine=0.881064		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:T59.0	Nitrogen oxides	mesh:D009589	Nitrogen Oxides	cosine=0.880744		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:E24.3	Ectopic ACTH syndrome	mesh:D000182	ACTH Syndrome, Ectopic	cosine=0.879942		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B73	Onchocerciasis	mesh:D009855	Onchocerciasis	cosine=0.879625		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B76.0	Ancylostomiasis	mesh:D000724	Ancylostomiasis	cosine=0.879427		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:F60.7	Dependent personality disorder	mesh:D003859	Dependent Personality Disorder	cosine=0.878644		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Z72.0	Tobacco use	mesh:D064424	Tobacco Use	cosine=0.876920		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N20-N23	Urolithiasis	mesh:D052878	Urolithiasis	cosine=0.876699		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:F52.4	Premature ejaculation	mesh:D061686	Premature Ejaculation	cosine=0.875111		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:O00.2	Ovarian pregnancy	mesh:D065172	Pregnancy, Ovarian	cosine=0.873264		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q11.2	Microphthalmos	mesh:D008850	Microphthalmos	cosine=0.873096		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K04.0	Pulpitis	mesh:D011671	Pulpitis	cosine=0.873014		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:A39.1	Waterhouse-Friderichsen syndrome	mesh:D014884	Waterhouse-Friderichsen Syndrome	cosine=0.872807		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:H53.6	Night blindness	mesh:D009755	Night Blindness	cosine=0.872359		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:A30.3	Borderline leprosy	mesh:D015439	Leprosy, Borderline	cosine=0.872198		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N81.1	Cystocele	mesh:D052858	Cystocele	cosine=0.872100		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:I47.1	Supraventricular tachycardia	mesh:D013617	Tachycardia, Supraventricular	cosine=0.872007		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:F50.0	Anorexia nervosa	mesh:D000856	Anorexia Nervosa	cosine=0.871407		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:K70.0	Alcoholic fatty liver	mesh:D005235	Fatty Liver, Alcoholic	cosine=0.871160		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:O40	Polyhydramnios	mesh:D006831	Polyhydramnios	cosine=0.870604		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Y58.3	Plague vaccine	mesh:D010931	Plague Vaccine	cosine=0.870529		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:L87.2	Elastosis perforans serpiginosa	mesh:C536202	Elastosis perforans serpiginosa	cosine=0.870098		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:R64	Cachexia	mesh:D002100	Cachexia	cosine=0.869881		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:N97	Female infertility	mesh:D007247	Infertility, Female	cosine=0.869677		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:B72	Dracunculiasis	mesh:D004320	Dracunculiasis	cosine=0.869548		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:Q24.6	Congenital heart block	mesh:C535758	Congenital heart block	cosine=0.869517		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
icd10:C08.1	Sublingual gland	mesh:D013361	Sublingual Gland	cosine=0.868412		1.0	1.0	semapv:LexicalMatching	semapv:LexicalMatching	skos:exactMatch	skos:exactMatch
