subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source_version	object_source_version	mapping_tool	mapping_tool_id	mapping_tool_version	mapping_date	confidence
icd10:E05.0	Thyrotoxicosis with diffuse goitre	skos:exactMatch	mesh:D006111	Graves Disease	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E07.1	Dyshormogenetic goitre	skos:exactMatch	mesh:C536648	Pendred syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E16.4	Abnormal secretion of gastrin	skos:exactMatch	mesh:D015043	Zollinger-Ellison Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E25.0	Congenital adrenogenital disorders associated with enzyme deficiency	skos:exactMatch	mesh:C535979	Congenital adrenal hyperplasia due to 21 hydroxylase deficiency	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E26.8	Other hyperaldosteronism	skos:exactMatch	mesh:D001477	Bartter Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E27.4	Other and unspecified adrenocortical insufficiency	skos:exactMatch	mesh:D006994	Hypoaldosteronism	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E34.8	Other specified endocrine disorders	skos:exactMatch	mesh:D011371	Progeria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E59	Dietary selenium deficiency	skos:exactMatch	mesh:C536166	Keshan disease	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E66.8	Other obesity	skos:exactMatch	mesh:D009767	Obesity, Morbid	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E70.2	Disorders of tyrosine metabolism	skos:exactMatch	mesh:D000474	Alkaptonuria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E72.0	Disorders of amino-acid transport	skos:exactMatch	mesh:D003555	Cystinuria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E72.1	Disorders of sulfur-bearing amino-acid metabolism	skos:exactMatch	mesh:C535408	Gamma-cystathionase deficiency	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E72.2	Disorders of urea cycle metabolism	skos:exactMatch	mesh:D056807	Argininosuccinic Aciduria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E74.1	Disorders of fructose metabolism	skos:exactMatch	mesh:D015319	Fructose-1,6-Diphosphatase Deficiency	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E74.3	Other disorders of intestinal carbohydrate absorption	skos:exactMatch	mesh:C562602	Glucose-Galactose Malabsorption	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E74.8	Other specified disorders of carbohydrate metabolism	skos:exactMatch	mesh:D006959	Hyperoxaluria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E75.2	Other sphingolipidosis	skos:exactMatch	mesh:D007966	Leukodystrophy, Metachromatic	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E75.5	Other lipid storage disorders	skos:exactMatch	mesh:D015223	Wolman Disease	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E76.2	Other mucopolysaccharidoses	skos:exactMatch	mesh:D016538	Mucopolysaccharidosis VII	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E77.1	Defects in glycoprotein degradation	skos:exactMatch	mesh:D054880	Aspartylglucosaminuria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E78.6	Lipoprotein deficiency	skos:exactMatch	mesh:D007863	Lecithin Cholesterol Acyltransferase Deficiency	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E79.1	Lesch-Nyhan syndrome	skos:exactMatch	mesh:D007926	Lesch-Nyhan Syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	1.0
icd10:E80.0	Hereditary erythropoietic porphyria	skos:exactMatch	mesh:D017092	Porphyria, Erythropoietic	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E80.2	Other porphyria	skos:exactMatch	mesh:D046349	Coproporphyria, Hereditary	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E80.6	Other disorders of bilirubin metabolism	skos:exactMatch	mesh:D007566	Jaundice, Chronic Idiopathic	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E83.0	Disorders of copper metabolism	skos:exactMatch	mesh:D006527	Hepatolenticular Degeneration	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E83.1	Disorders of iron metabolism	skos:exactMatch	mesh:D006432	Hemochromatosis	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E83.2	Disorders of zinc metabolism	skos:exactMatch	mesh:C538178	Acrodermatitis enteropathica	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E83.3	Disorders of phosphorus metabolism and phosphatases	skos:exactMatch	mesh:C562645	Acid Phosphatase Deficiency	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E85.0	Non-neuropathic heredofamilial amyloidosis	skos:exactMatch	mesh:D010505	Familial Mediterranean Fever	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E86	Volume depletion	skos:exactMatch	mesh:D003681	Dehydration	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:E88.8	Other specified metabolic disorders	skos:exactMatch	mesh:C536561	Trimethylaminuria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F05.8	Other delirium	skos:exactMatch	mesh:D000071257	Emergence Delirium	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F22.0	Delusional disorder	skos:exactMatch	mesh:D010259	Paranoid Disorders	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F24	Induced delusional disorder	skos:exactMatch	mesh:D012753	Shared Paranoid Disorder	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F40.2	Specific (isolated) phobias	skos:exactMatch	mesh:C000719188	Acrophobia	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F44	Dissociative [conversion] disorders	skos:exactMatch	mesh:D007046	Hysteria	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F44.8	Other dissociative [conversion] disorders	skos:exactMatch	mesh:D009105	Dissociative Identity Disorder	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F48.8	Other specified neurotic disorders	skos:exactMatch	mesh:C000711649	dhat syndrome	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
icd10:F65	Disorders of sexual preference	skos:exactMatch	mesh:D010262	Paraphilic Disorders	semapv:LexicalMatching	2019		https://github.com/gyorilab/mapnet/blob/main/scripts/generate_gilda_mesh_icd10_mapping.py	gilda	1.5.0	2026-07-31	0.95
